coin_id,price_change_percentage_24h,price_change_percentage_7d,price_change_percentage_14d,price_change_percentage_30d,price_change_percentage_60d,price_change_percentage_200d,price_change_percentage_1y
bitcoin,0.5085293658401341,0.49319307062377965,0.7722004332891463,0.23545963323469243,-0.06749509626832181,83.5184,-0.25163688201978673
ethereum,0.18544589364395297,0.9344450402613929,0.5586921208689707,-0.054340931689121186,-0.27348272537129126,186.77418,-0.19935211047099163
tether,0.021773961621223664,-0.7063368531568252,-0.02168042073059972,-0.06103015356222092,0.008004524805563948,-0.00542,-0.2820605057562321
ripple,-0.04076438293175126,-0.810928065771643,0.24945797416123697,-0.05038796511514074,-0.37316401868233073,39.53888,-0.29554614246304434
bitcoin-cash,1.1930360799166912,2.000959067401844,1.7606100087732972,0.5458420645629487,-0.2912028704525387,21.66042,-0.27031695049996346
binancecoin,0.8918707082925427,1.327294532419359,0.8002141838472083,-0.05714789920383568,0.7786531064375697,155.61937,-0.22553260480956064
chainlink,0.011397240027127978,2.5722509094400743,1.101646925841525,-0.49049541470249874,-0.9319540229351091,403.22917,-0.018284399525622944
cardano,0.10252980183305808,1.5080014557070824,0.6488850611552859,0.3289592446109879,-0.4863488991452572,264.51418,-0.15542841631777854
litecoin,0.07749718199907564,0.334296561906924,0.8585198643413018,-0.012646472957752196,-0.3664769899998123,27.49919,-0.2923512135845564
bitcoin-cash-sv,0.44895150521769767,-0.19068427753077835,-0.2480432243253535,0.051634005462456514,-0.529666139316004,7.42562,-0.20602894672984284
crypto-com-chain,0.3312797828973969,-1.614843685120517,-1.0545211412928832,-0.729931204068619,-0.3501553818746052,226.70782,-0.034570216530723376
usd-coin,0.03435226136670967,-0.7330257877190793,-0.023140389265658992,-0.06577517381197172,0.0029246487093922222,-0.15691,-0.2822321768461414
eos,0.1557095607629728,-0.9224908613168605,0.11502363636301785,-0.23748826021937042,-0.6428366988288992,18.06111,-0.29632957081228767
monero,0.2627227895414743,1.7926024333165838,2.202665034674693,1.4378424611053742,0.89386493569373,169.52147,-0.16764425165078142
tron,0.1300495287254371,-0.041017572912210226,0.14715502996656585,-0.5437763005424557,0.12011576150718976,132.88436,-0.2340141253891166
tezos,-0.15158341148390198,0.7081957353613687,0.2580123262234469,-0.6022960392247715,-0.9560487007444608,43.42842,-0.16847860771075593
okb,-0.9232027409124854,-1.4373589353557508,-0.6299627747309349,-0.4605580147303932,-0.0585038908494266,39.95853,-0.16690045718188246
stellar,-0.27754298602598954,-0.3852089099477516,-0.15324316478767577,-0.3718164899915129,-0.6564033409100283,84.62157,-0.2708740884588925
cosmos,-0.25597803962841204,1.840274403245437,0.6435648778015352,0.11653821174087736,-0.15191282179228638,185.99786,-0.21519097738388906
cdai,0.18085113241673392,-0.7049314201514939,-0.0018161468545779466,-0.14323694724685626,0.016060379816445716,-0.3921,-0.2823098868371216
neo,0.286545668479983,-0.3263014162757142,-1.2126702991200204,-0.9031338586697517,0.2909698252729614,158.64773,-0.17555042783793995
wrapped-bitcoin,0.5154534418350357,0.4618431802754836,0.7699754315730502,0.22404537499885793,-0.07467416714445241,83.9052,-0.25162338946236346
leo-token,0.05175825381618298,-0.9283809754601071,-0.8719175105035031,0.05878170382036653,-0.15924963686428395,16.40588,-0.26503611930146337
huobi-token,-0.052031503880590114,-0.4572290141565338,0.03252211971670038,-0.18448868601971607,-0.07080900685466561,42.23704,-0.26214044447468937
nem,-0.21798391020006674,-0.84938134802146,0.2976321014852956,-0.19982017041621383,1.7731272360368855,216.17761,-0.11922616471373801
binance-usd,0.061338500038103316,-0.7066687576744684,-0.015320855803876272,-0.05869357600342244,0.004017315822226938,0.09959,-0.28196335609743095
iota,0.2590973238143555,0.2495084561581842,-0.4789527180102506,-0.21899663153570156,-0.7358151462887291,95.02821,-0.28530981053360804
vechain,0.5850886825108372,-0.9942314669844695,-2.2171081053259893,-0.603897824630211,-0.9304229637548989,269.70264,-0.11748154377403423
zcash,-0.12746748971978172,0.9291186873801718,0.6775321093229266,0.22383400696311137,-0.43706773139581034,122.54767,-0.2148285849786767
theta-token,-1.6121877504778772,-1.6820265588951313,-0.8169209308777808,1.1486068252952832,1.7126411004883344,882.65105,0.28697690710072427
dash,-0.29694016690590125,0.09476313600170767,0.040039507372386395,-0.35882965356972396,-0.5585273422850221,6.23435,-0.28407141606887
ethereum-classic,-0.07131221902211765,-0.2294837568372758,-0.17554394244406138,0.051882266828078845,-0.5517599452859102,10.39203,-0.2730616271390017
ethlend,-4.981041886343488,-0.04517828983194763,-1.2069561176351198,-1.212125872628315,0.047735542593849746,2227.92782,6.088625454881483
maker,-0.12516823062652083,0.5807301080473535,-0.20235636127708295,0.5829110220611436,-0.39592300071936165,82.53544,-0.27343334182231344
havven,-1.428573878476343,-0.025510168056776892,-1.6288592268530901,-0.8603537368456844,-0.8407135403216132,622.92465,0.26864737737188416
omisego,1.9198123431080822,0.37044715731184824,-1.6197610123399062,-0.4097163160229516,1.696480442741837,585.26307,-0.02188781294325084
celsius-degree-token,1.0455303437735397,-0.6183281619450216,2.9070539266782687,5.351454612662935,4.769912781178204,1590.19149,1.3484883901540017
ontology,-0.4090440755395801,-0.9069628116828178,-1.2989861044225028,-1.3931526033017467,-0.6969369731366347,54.76717,-0.29234378983828924
ftx-token,0.41471057813276363,0.41404416555518786,-0.047385777330082986,-0.4653798960840519,0.12818465499496567,57.4895,-0.145469278149236
true-usd,0.07803818413866644,-0.6877454359891283,-0.00919092168978632,-0.05821434702055703,0.007388296463173008,-0.08874,-0.28174681799456275
